year,raw_var_name,label,section_name,section_number,question_number,column,type,question_prologue,question,value_labels,n_value_labels,is_calculated
2012,_STATE,State FIPS Code,Record Identification,0.0,,1-2,Num,Description: State FIPS Code,State FIPS Code,1 - Alabama; 2 - Alaska; 4 - Arizona; 5 - Arkansas; 6 - California; 8 - Colorado; 9 - Connecticut; 10 - Delaware; 11 - District of Columbia; 12 - Florida; 13 - Georgia; 15 - Hawaii; 16 - Idaho; 17 - Illinois; 18 - Indiana; 19 - Iowa; 20 - Kansas; 21 - Kentucky; 22 - Louisiana; 23 - Maine; 24 - Maryland; 25 - Massachusetts; 26 - Michigan; 27 - Minnesota; 28 - Mississippi; 29 - Missouri; 30 - Montana; 31 - Nebraska; 32 - Nevada; 33 - New Hampshire; 34 - New Jersey; 35 - New Mexico; 36 - New York; 37 - North Carolina; 38 - North Dakota; 39 - Ohio; 40 - Oklahoma; 41 - Oregon; 42 - Pennsylvania; 44 - Rhode Island; 45 - South Carolina; 46 - South Dakota; 47 - Tennessee; 48 - Texas; 49 - Utah; 50 - Vermont; 51 - Virginia; 53 - Washington; 54 - West Virginia; 55 - Wisconsin; 56 - Wyoming; 66 - Guam; 72 - Puerto Rico,53,True
2012,_GEOSTR,Geographic Stratum Code,Record Identification,0.0,,3-4,Num,Description: Geographic Stratum Code,Geographic Stratum Code,HIDDEN - ,1,True
2012,_DENSTR2,Household Density Stratum Code,Record Identification,0.0,,5,Num,Description: Geographic Stratum Code,Geographic Stratum Code,HIDDEN - ; 1 - Listed; 2 - Unlisted; 9 - Not Applicable,4,True
2012,_PSU,Primary Sampling Unit,Record Identification,0.0,,34-43,Num,Description: Annual Sequence Number,Annual Sequence Number,HIDDEN - Data not displayed,1,True
2012,_STSTR,,,,,886-890,Num,Description: Sample Design Stratification Variable (A five digit number that combines the values for _STATE (first two,Sample Design Stratification Variable (A five digit number that combines the values for _STATE (first two,HIDDEN - Data not displayed,1,True
2012,_STRWT,,,,,891-900,Num,Description: Stratum weight (Number of records in a stratum (NRECSTR) divided by the number of records selected,Stratum weight (Number of records in a stratum (NRECSTR) divided by the number of records selected,HIDDEN - Data not displayed,1,True
2012,_RAW,,,,,901-910,Num,Description: Raw weighting factor (Number of adults in the household (NUMADULT) divided by the imputed number of phones,Raw weighting factor (Number of adults in the household (NUMADULT) divided by the imputed number of phones,HIDDEN - Data not displayed,1,True
2012,_WT2,,,,,911-920,Num,Description: Design weight (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAW).),Design weight (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAW).),HIDDEN - Data not displayed,1,True
2012,_RAWRAKE,,,,,921-930,Num,"Description: Raw weighting factor used in raking (Number of adults in the household (NUMADULT, maximum of 5) divided by",Design weight (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAW).),HIDDEN - Data not displayed,1,True
2012,_WT2RAKE,,,,,931-940,Num,Description: Design weight used in raking (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).),Design weight used in raking (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).),HIDDEN - Data not displayed,1,True
2012,_REGION,,,,,941-942,Num,"Description: Geographic region within a state, imputed from CTYCODE, _IMPCTY, or _GEOSTR",Design weight used in raking (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).),HIDDEN - Data not displayed,1,True
2012,_IMPAGE,,,,,943-944,Num,"Description: Geographic region within a state, imputed from CTYCODE, _IMPCTY, or _GEOSTR","Geographic region within a state, imputed from CTYCODE, _IMPCTY, or _GEOSTR",HIDDEN - Data not displayed,1,True
2012,_IMPRACE,,,,,945-946,Num,"Description: Imputed race/ethnicity value (This value is the reported race/ethnicity or an imputed race/ethnicity, if the respondent","Imputed race/ethnicity value (This value is the reported race/ethnicity or an imputed race/ethnicity, if the respondent","1 - White, Non-Hispanic; 2 - Black, Non-Hispanic; 3 - Asian, Non-Hispanic; 4 - American Indian/Alaskan Native, Non-Hispanic; 5 - Hispanic; 6 - Other race, Non-Hispanic",6,True
2012,_IMPNPH,,,,,947,Num,Description: Imputed number of phones used in weighting,Imputed number of phones used in weighting,"1 - White, Non-Hispanic; 2 - Black, Non-Hispanic; 3 - Asian, Non-Hispanic; 4 - American Indian/Alaskan Native, Non-Hispanic; 5 - Hispanic; 6 - Other race, Non-Hispanic; 1 - Number of phones; 2 - ; 3 - ; 4 - ; 5 - ; 6 - ",12,True
2012,_CRACE,,,,,1140-1141,Num,Description: Child multiracial race categorization,Child multiracial race categorization,1 - White only; 2 - Black or African American only; 3 - Asian Only; 4 - Native Hawaiian or other Pacific Islander only; 5 - American Indian or Alaskan Native only; 6 - Other race only; 7 - Multiracial; 77 - Don’t know/Not sure; 99 - Refused,9,True
2012,_RAWCH,,,,,1142-1151,Num,Description: Raw child weighting factor (Number of children in the household (CHILDREN) divided by the imputed number of,Raw child weighting factor (Number of children in the household (CHILDREN) divided by the imputed number of,HIDDEN - Data not displayed,1,True
2012,_WT2CH,,,,,1152-1161,Num,Description: Child design weight (Child stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWCH).),Child design weight (Child stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWCH).),HIDDEN - Data not displayed,1,True
2012,_CLCPM01,,,,,1253-1255,Num,Description: Child Combined Land-Line and Cell-Phone First Margin (Age-Gender),Child Combined Land-Line and Cell-Phone First Margin (Age-Gender),,0,True
2012,_CLCPM02,,,,,1256-1258,Num,Description: Child Combined Land-Line and Cell-Phone First Margin (Age-Gender),Child Combined Land-Line and Cell-Phone First Margin (Age-Gender),,0,True
2012,_CLCPM03,,,,,1259-1261,Num,Description: Child Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),Child Combined Land-Line and Cell-Phone Second Margin (Race/Ethnicity),,0,True
2012,_CLCPM04,,,,,1262-1264,Num,Description: Child Combined Land-Line and Cell-Phone Fourth Margin (Age-Race/Ethnicity),Child Combined Land-Line and Cell-Phone Fourth Margin (Age-Race/Ethnicity),,0,True
2012,_CLCPM05,,,,,1265-1267,Num,Description: Child Combined Land-Line and Cell-Phone Fourth Margin (Age-Race/Ethnicity),Child Combined Land-Line and Cell-Phone Fourth Margin (Age-Race/Ethnicity),,0,True
