year,raw_var_name,label,section_name,section_number,question_number,column,type,question_prologue,question,value_labels,n_value_labels,is_calculated
2012,_STATE,State FIPS Code,Record Identification,0.0,,1-2,Num,Description: State FIPS Code,State FIPS Code,1 - Alabama; 2 - Alaska; 4 - Arizona; 5 - Arkansas; 6 - California; 8 - Colorado; 9 - Connecticut; 10 - Delaware; 11 - District of Columbia; 12 - Florida; 13 - Georgia; 15 - Hawaii; 16 - Idaho; 17 - Illinois; 18 - Indiana; 19 - Iowa; 20 - Kansas; 21 - Kentucky; 22 - Louisiana; 23 - Maine; 24 - Maryland; 25 - Massachusetts; 26 - Michigan; 27 - Minnesota; 28 - Mississippi; 29 - Missouri; 30 - Montana; 31 - Nebraska; 32 - Nevada; 33 - New Hampshire; 34 - New Jersey; 35 - New Mexico; 36 - New York; 37 - North Carolina; 38 - North Dakota; 39 - Ohio; 40 - Oklahoma; 41 - Oregon; 42 - Pennsylvania; 44 - Rhode Island; 45 - South Carolina; 46 - South Dakota; 47 - Tennessee; 48 - Texas; 49 - Utah; 50 - Vermont; 51 - Virginia; 53 - Washington; 54 - West Virginia; 55 - Wisconsin; 56 - Wyoming; 66 - Guam; 72 - Puerto Rico,53,True
2012,_GEOSTR,Geographic Stratum Code,Record Identification,0.0,,3-4,Num,Description: Geographic Stratum Code,Geographic Stratum Code,HIDDEN - ,1,True
2012,_DENSTR2,Household Density Stratum Code,Record Identification,0.0,,5,Num,Description: Geographic Stratum Code,Geographic Stratum Code,HIDDEN - ; 1 - Listed; 2 - Unlisted; 9 - Not Applicable,4,True
2012,PRECALL,Pre-Call Status Code,Record Identification,0.0,,6,Num,Description: Household Density Stratum Code,Household Density Stratum Code,1 - Listed; 2 - Unlisted; 9 - Not Applicable; 1 - To be called; 3 - Pre-screened as non-working number; 4 - cell phone - PRO-T-S; 5 - Pre-screened as business number; 6 - cell phone - Interviewer,8,False
2012,REPNUM,Replicate Number,Record Identification,0.0,,7-12,Num,Description: Replicate Number,Replicate Number,1 - To be called; 3 - Pre-screened as non-working number; 4 - cell phone - PRO-T-S; 5 - Pre-screened as business number; 6 - cell phone - Interviewer; HIDDEN - Data not displayed,6,False
2012,REPDEPTH,Replicate Depth,Record Identification,0.0,,13-14,Num,Description: Replicate Number,Replicate Number,HIDDEN - Data not displayed,1,False
2012,FMONTH,File Month,Record Identification,0.0,,15-16,Num,Description: Replicate Depth,Replicate Depth,HIDDEN - Data not displayed; 1 - January; 2 - February; 3 - March; 4 - April; 5 - May; 6 - June; 7 - July; 8 - August; 9 - September; 10 - October; 11 - November; 12 - December,13,False
2012,IDATE,Interview Date,Record Identification,0.0,,17-24,Char,Description: Interview Date,Interview Date,HIDDEN - Data not displayed,1,False
2012,IMONTH,Interview Month,Record Identification,0.0,,17-18,Char,Description: Interview Month,Interview Month,HIDDEN - Data not displayed; 1 - January; 2 - February; 3 - March; 4 - April; 5 - May; 6 - June; 7 - July; 8 - August; 9 - September; 10 - October; 11 - November; 12 - December,13,False
2012,IDAY,Interview Day,Record Identification,0.0,,19-20,Char,Description: Interview Day,Interview Day,1 - Interview Day; 2 - ; 3 - ; 4 - ; 5 - ; 6 - ; 7 - ; 8 - ; 9 - ; 10 - ; 11 - ; 12 - ; 13 - ; 14 - ; 15 - ; 16 - ; 17 - ; 18 - ; 19 - ; 20 - ; 21 - ; 22 - ; 23 - ; 24 - ; 25 - ; 26 - ; 27 - ; 28 - ; 29 - ; 30 - ; 31 - ,31,False
2012,IYEAR,Interview Year,Record Identification,0.0,,21-24,Char,Description: Interview Year,Interview Year,2012 - Interview Year; 2013 - ; HIDDEN - Data not displayed,3,False
2012,DISPCODE,Final Disposition,Record Identification,0.0,,30-33,Num,Description: Interviewer Identification,Interviewer Identification,HIDDEN - Data not displayed; 1100 - Completed Interview; 1200 - Partial Complete Interview,3,False
2012,_PSU,Primary Sampling Unit,Record Identification,0.0,,34-43,Num,Description: Annual Sequence Number,Annual Sequence Number,HIDDEN - Data not displayed,1,True
2012,NATTMPTS,Number of Attempts,Record Identification,0.0,,44-45,Num,Description: Number of Attempts,Primary Sampling Unit (Equal to Annual Sequence Number),HIDDEN - Data not displayed,1,False
2012,NRECSEL,Number of Sample Records Selected from Stratum,Record Identification,0.0,,46-51,Num,Description: Number of Attempts,Number of Attempts,HIDDEN - Data not displayed,1,False
2012,NRECSTR,Number of Telephone Numbers in Stratum from Which Sample Was Selected,Record Identification,0.0,,52-60,Num,Description: Number of Sample Records Selected from Stratum,Number of Sample Records Selected from Stratum,HIDDEN - Data not displayed,1,False
2012,CTELENUM,Correct telephone number?,Record Identification,0.0,,61,Num,Variabe only on the land line survey,Correct Telephone Number?,HIDDEN - Data not displayed; 1 - Yes; 2 - No,3,False
2012,COLGHOUS,Do you live in college housing?,Record Identification,0.0,,63,Num,Variabe only on the land line survey,Private Residence?,1 - Yes; 2 - No; 1 - Not a cellular phone; 2 - Yes,4,False
2012,LADULT,Are you 18 years of age or older?,Record Identification,0.0,,65,Num,Description: Are you 18 years of age or older?,Are you 18 years of age or older?,"1 - Not a cellular phone; 2 - Yes; 1 - Yes, Male Respondent; 2 - Yes, Female Respondent; 3 - No",5,False
2012,NUMADULT,Number of Adults in Household,Record Identification,0.0,,66-67,Num,Variabe only on the land line survey,Are you 18 years of age or older?,"1 - Yes, Male Respondent; 2 - Yes, Female Respondent; 3 - No; 1 - Number of adults in the household; 2 - ; 3 - ; 4 - ; 5 - ",8,False
2012,NUMMEN,Number of Adult men in Household,Record Identification,0.0,,68-69,Num,Variabe only on the land line survey,Number of Adult Men in Household,0 - Number of adult men in the household; 1 - ; 2 - ; 3 - ; 4 - ; 5 - ,6,False
2012,NUMWOMEN,Number of Adult women in Household,Record Identification,0.0,,70-71,Num,Variabe only on the land line survey,Number of Adult Women in Household,0 - Number of adult women in the household; 1 - ; 2 - ; 3 - ; 4 - ; 5 - ,6,False
2012,GENHLTH,General Health,Health Status,1.0,,73,Num,Description: Would you say that in general your health is:,Would you say that in general your health is:,1 - Excellent; 2 - Very good; 3 - Good; 4 - Fair; 5 - Poor; 7 - Don’t know/Not Sure; 9 - Refused,7,False
