concept_id,year,state_var,cdc_var,is_primary,source,score,notes,unverified
ACEDEPRS,2012,,ACEDEPRS,1,cdc_seed,,,1
ACEDIVRC,2012,,ACEDIVRC,1,cdc_seed,,,1
ACEDRINK,2012,,ACEDRINK,1,cdc_seed,,,1
ACEDRUGS,2012,,ACEDRUGS,1,cdc_seed,,,1
ACEHURT,2012,,ACEHURT,1,cdc_seed,,,1
ACEHVSEX,2012,,ACEHVSEX,1,cdc_seed,,,1
ACEPRISN,2012,,ACEPRISN,1,cdc_seed,,,1
ACEPUNCH,2012,,ACEPUNCH,1,cdc_seed,,,1
ACESWEAR,2012,,ACESWEAR,1,cdc_seed,,,1
ACETOUCH,2012,,ACETOUCH,1,cdc_seed,,,1
ACETTHEM,2012,,ACETTHEM,1,cdc_seed,,,1
ADDEPEV2,2012,,ADDEPEV2,1,cdc_seed,,,1
ADLTCHLD,2012,,ADLTCHLD,1,cdc_seed,,,1
AGE,2012,,AGE,1,cdc_seed,,,1
ALCDAY5,2012,,ALCDAY5,1,cdc_seed,,,1
ASACTLIM,2012,,ASACTLIM,1,cdc_seed,,,1
ASATTACK,2012,,ASATTACK,1,cdc_seed,,,1
ASDRVIST,2012,,ASDRVIST,1,cdc_seed,,,1
ASERVIST,2012,,ASERVIST,1,cdc_seed,,,1
ASINHALR,2012,,ASINHALR,1,cdc_seed,,,1
ASNOSLEP,2012,,ASNOSLEP,1,cdc_seed,,,1
ASRCHKUP,2012,,ASRCHKUP,1,cdc_seed,,,1
ASTHMA3,2012,,ASTHMA3,1,cdc_seed,,,1
ASTHMAGE,2012,,ASTHMAGE,1,cdc_seed,,,1
ASTHMED3,2012,,ASTHMED3,1,cdc_seed,,,1
ASTHNOW,2012,,ASTHNOW,1,cdc_seed,,,1
ASYMPTOM,2012,,ASYMPTOM,1,cdc_seed,,,1
AVEDRNK2,2012,,AVEDRNK2,1,cdc_seed,,,1
BLDSTOOL,2012,,BLDSTOOL,1,cdc_seed,,,1
BLDSUGAR,2012,,BLDSUGAR,1,cdc_seed,,,1
CALLBACK,2012,,CALLBACK,1,cdc_seed,,,1
CASTHDX2,2012,,CASTHDX2,1,cdc_seed,,,1
CASTHNO2,2012,,CASTHNO2,1,cdc_seed,,,1
CCLGHOUS,2012,,CCLGHOUS,1,cdc_seed,,,1
CELLFON2,2012,,CELLFON2,1,cdc_seed,,,1
CHCCOPD1,2012,,CHCCOPD1,1,cdc_seed,,,1
CHCKIDNY,2012,,CHCKIDNY,1,cdc_seed,,,1
CHCOCNCR,2012,,CHCOCNCR,1,cdc_seed,,,1
CHCSCNCR,2012,,CHCSCNCR,1,cdc_seed,,,1
CHCVISN1,2012,,CHCVISN1,1,cdc_seed,,,1
CHECKUP1,2012,,CHECKUP1,1,cdc_seed,,,1
CHILDAGE,2012,,CHILDAGE,1,cdc_seed,,,1
CHILDREN,2012,,CHILDREN,1,cdc_seed,,,1
CHKHEMO3,2012,,CHKHEMO3,1,cdc_seed,,,1
CNCRAGE,2012,,CNCRAGE,1,cdc_seed,,,1
CNCRDIFF,2012,,CNCRDIFF,1,cdc_seed,,,1
CNCRTYP1,2012,,CNCRTYP1,1,cdc_seed,,,1
COLGHOUS,2012,,COLGHOUS,1,cdc_seed,,,1
COPDDOC,2012,,COPDDOC,1,cdc_seed,,,1
COPDHOSP,2012,,COPDHOSP,1,cdc_seed,,,1
COPDMEDS,2012,,COPDMEDS,1,cdc_seed,,,1
COPDQOL,2012,,COPDQOL,1,cdc_seed,,,1
COPDTEST,2012,,COPDTEST,1,cdc_seed,,,1
