concept_id,code,label
ABSIADVICE,1,yes
ABSIADVICE,2,no
ABSIAMT,1,yes
ABSIAMT,2,no
ABSIBINGE,1,yes
ABSIBINGE,2,no
ABSIDRINK,1,yes
ABSIDRINK,2,no
ABSIQUIT,1,yes
ABSIQUIT,2,no
ABSIQUIT,7,don't know/not sure
ABSIQUIT,9,refused
ACEADNED,1,never
ACEADNED,2,a little of the time
ACEADNED,3,some of the time
ACEADNED,4,most of the time
ACEADNED,5,all of the time
ACEADSAF,1,never
ACEADSAF,2,a little of the time
ACEADSAF,3,some of the time
ACEADSAF,4,most of the time
ACEADSAF,5,all of the time
ACEDEP,1,yes
ACEDEP,2,no
ACEDEPRS,1,yes
ACEDEPRS,2,no
ACEDIV,1,yes
ACEDIV,2,no
ACEDIV,8,parents not married
ACEDIVRC,1,yes
ACEDIVRC,2,no
ACEDIVRC,8,parents not married
ACEDRINK,1,yes
ACEDRINK,2,no
ACEDRUG,1,yes
ACEDRUG,2,no
ACEDRUGS,1,yes
ACEDRUGS,2,no
ACEFORCE,1,never
ACEFORCE,2,once
ACEFORCE,3,more than once
ACEHURT,1,never
ACEHURT,2,once
ACEHURT,3,more than once
ACEHURT1,1,never
ACEHURT1,2,once
ACEHURT1,3,more than once
ACEHVSEX,1,never
ACEHVSEX,2,once
ACEHVSEX,3,more than once
ACEJAIL,1,yes
ACEJAIL,2,no
ACEPHYS,1,never
ACEPHYS,2,once
ACEPHYS,3,more than once
ACEPRISN,1,yes
ACEPRISN,2,no
ACEPUNCH,1,never
ACEPUNCH,2,once
ACEPUNCH,3,more than once
ACES4,0,none
ACES4,1,one experience
ACES4,2,two experiences
ACES4,3,three experiences
ACES4,4,four or more experiences
ACESPOUSE,1,never
ACESPOUSE,2,once
ACESPOUSE,3,more than once
ACESWEAR,1,never
ACESWEAR,2,once
ACESWEAR,3,more than once
ACESscore,0,none
ACESsexAbuse,0,no
ACESsexAbuse,1,sexual abuse
ACESsubAbuse,0,no
ACESsubAbuse,1,household substance abuse
ACETOUCH,1,never
ACETOUCH,2,once
ACETOUCH,3,more than once
ACETOUCHTHEM,1,never
ACETOUCHTHEM,2,once
ACETOUCHTHEM,3,more than once
ACETOUCHU,1,never
ACETOUCHU,2,once
ACETOUCHU,3,more than once
ACETTHEM,1,never
ACETTHEM,2,once
ACETTHEM,3,more than once
ACSdisab,0,no disabilities
ACSdisab,1,has one or more disabilities
ACTHRS,777,don't know / not sure
ACTHRS,999,refused
ACTHRSTWO,777,don't know / not sure
ACTHRSTWO,999,refused
ACTSTRENGTHX,777,dont know / not sure
ACTSTRENGTHX,888,never
ACTSTRENGTHX,999,refused
ACTTIMES,777,don't know / not sure
ACTTIMES,999,refused
ACTTIMESTWO,777,don't know / not sure
ACTTIMESTWO,999,refused
ACTTYPETWX,1,"active gaming devices (wii fit, dance dance revolution)"
ACTTYPETWX,2,aerobics video or class
ACTTYPETWX,3,backpacking
ACTTYPETWX,4,badminton
ACTTYPETWX,5,basketball
ACTTYPETWX,6,bicycling machine exercise
ACTTYPETWX,7,bicycling
ACTTYPETWX,8,"boating (canoeing, rowing, kayaking, sailing for pleasure or"
ACTTYPETWX,9,bowling
ACTTYPETWX,10,boxing
ACTTYPETWX,11,calisthenics
ACTTYPETWX,12,canoeing/rowing - in competition
ACTTYPETWX,13,carpentry
ACTTYPETWX,14,"dancing-ballet, ballroom, latin, hip-hop, etc."
ACTTYPETWX,15,elliptical/efx machine exercise
ACTTYPETWX,16,fishing from river bank or boat
ACTTYPETWX,17,frisbee
ACTTYPETWX,18,"gardening (spading, weeding, digging, filling)"
ACTTYPETWX,19,golf (with motorized cart)
ACTTYPETWX,20,golf (without motorized cart)
ACTTYPETWX,21,handball
ACTTYPETWX,22,hiking - cross-country
ACTTYPETWX,23,hockey
ACTTYPETWX,24,horseback riding
ACTTYPETWX,25,"hunting large game - deer, elk"
ACTTYPETWX,26,hunting small game - quail
ACTTYPETWX,27,inline skating
ACTTYPETWX,28,jogging
ACTTYPETWX,29,lacrosse
ACTTYPETWX,30,mountain climbing
ACTTYPETWX,31,mowing lawn
ACTTYPETWX,32,paddleball
ACTTYPETWX,33,painting/papering house
ACTTYPETWX,34,pilates
ACTTYPETWX,35,racquetball
ACTTYPETWX,36,raking lawn
ACTTYPETWX,37,running
ACTTYPETWX,38,rock climbing
ACTTYPETWX,39,rope skipping
ACTTYPETWX,40,rowing machine exercise
ACTTYPETWX,41,rugby
ACTTYPETWX,42,scuba diving
ACTTYPETWX,43,skateboarding
ACTTYPETWX,44,skating - ice or roller
ACTTYPETWX,45,"sledding, tobogganing"
ACTTYPETWX,46,snorkeling
ACTTYPETWX,47,snow blowing
ACTTYPETWX,48,snow shoveling by hand
ACTTYPETWX,49,snow skiing
ACTTYPETWX,50,snowshoeing
ACTTYPETWX,51,soccer
ACTTYPETWX,52,softball/baseball
ACTTYPETWX,53,squash
ACTTYPETWX,54,stair climbing/stair master
