concept_id,concept_label,domain,subdomain,construct_notes,canonical_response_type
ABSIADVICE,M05.4. Were you offered advice about what level of drinking is harmful or risky for your health?,alcohol_screening_and_brief_intervention_module,,,
ABSIAMT,M05.2. Did the health care provider ask you in person or on a form how much you drink?,alcohol_screening_and_brief_intervention_module,,,
ABSIBINGE,M05.3. Did the healthcare provider specifically ask whether you drank 4/5 or more alcoholic drinks on an occasion?,alcohol_screening_and_brief_intervention_module,,,
ABSIDRINK,"M05.1. You told me earlier that your last routine checkup was withing the past year/2 years.  At that checkup, were you asked in person or on a form if you drink alcohol?",alcohol_screening_and_brief_intervention_module,,,
ABSIQUIT,"M05.5. Healthcare providers may also advise patients to drink less for various reasons.  At your last routine checkup, were you advised to reduce or quit your drinking?",alcohol_screening_and_brief_intervention_module,,,
ACBSELECT,,,,,
ACEADNED,"M21.13 For how much of your childhood was there an adult in your household who tried hard to make sure your basic needs were met? Would you say never, a little of the time, some of the time, most of the time, or all of the time?",,,,
ACEADSAF,"M21.12 For how much of your childhood was there an adult in your household who made you feel safe and protected? Would you say never, a little of the time, some of the time, most of the time, or all of the time?",,,,
ACEDEP,"M31.1. Did you live with anyone who was depressed, mentally ill, or suicidal?",adverse_childhood_experience,,,
ACEDEPRS,"M31.1. Did you live with anyone who was depressed, mentally ill, or suicidal?",,,,
ACEDEPr,,,,,
ACEDIV,M31.5. Were your parents separated or divorced?,adverse_childhood_experience,,,
ACEDIVRC,M31.5. Were your parents separated or divorced?,,,,
ACEDIVr,,,,,
ACEDRINK,M31.2. Did you live with anyone who was a problem drinker or alcoholic?,adverse_childhood_experience,,,
ACEDRINKr,,,,,
ACEDRUG,M31.3. Did you live with anyone who used illegal street drugs or who abused prescription medications?,adverse_childhood_experience,,,
ACEDRUGS,M31.3. Did you live with anyone who used illegal street drugs or who abused prescription medications?,,,,
ACEDRUGr,,,,,
ACEFORCE,"M31.11. How often did anyone at least 5 years older than you or an adult, force you to have sex?",adverse_childhood_experience,,,
ACEFORCEr,,,,,
ACEHURT,"M31.7. Before age 18, how often did a parent or adult in your home ever hit, beat, kick, or physically hurt you in any way? Do not include spanking. Would you say...",,,,
