survey,year,raw_var_name,code,label,is_missing
BRFSS,2012,ARTHRIT2,1,Yes,FALSE
BRFSS,2012,ARTHRIT2,2,No,FALSE
BRFSS,2012,ARTHRIT2,7a,Don't know / Not sure,TRUE
BRFSS,2012,ARTHRIT2,9a,Refused,TRUE
BRFSS,2012,ADIAG,1,Yes,FALSE
BRFSS,2012,ADIAG,2,No,FALSE
BRFSS,2012,ADIAG,7a,Don't know / Not sure,TRUE
BRFSS,2012,ADIAG,9a,Refused,TRUE
BRFSS,2012,ASTILL,1,Yes,FALSE
BRFSS,2012,ASTILL,2,No,FALSE
BRFSS,2012,ASTILL,7a,Don't know / Not sure,TRUE
BRFSS,2012,ASTILL,9a,Refused,TRUE
BRFSS,2012,asthmst,1,Current,FALSE
BRFSS,2012,asthmst,2,Former,FALSE
BRFSS,2012,asthmst,3,Never,FALSE
BRFSS,2012,asthmst,9a,Don't know/Not Sure/Refused/Missing,TRUE
BRFSS,2012,casthma,1,Doesn't currently have asthma,FALSE
BRFSS,2012,casthma,2,Currently has asthma,FALSE
BRFSS,2012,casthma,9a,Don't know/Not Sure/Refused/Missing,TRUE
BRFSS,2012,ltasthm,1,Not told had asthma,FALSE
BRFSS,2012,ltasthm,2,Told had asthma,FALSE
BRFSS,2012,ltasthm,9a,Don't know/Not sure/Refused/Missing,TRUE
BRFSS,2012,CADIAG,1,Yes,FALSE
BRFSS,2012,CADIAG,2,No,FALSE
BRFSS,2012,CADIAG,7a,(DO NOT READ) Don't know/Not sure,TRUE
BRFSS,2012,CADIAG,9a,(DO NOT READ) Refused,TRUE
BRFSS,2012,CASTILL,1,Yes,FALSE
BRFSS,2012,CASTILL,2,No,FALSE
BRFSS,2012,CASTILL,7a,Don't know/Not sure,TRUE
BRFSS,2012,CASTILL,9a,Refused,TRUE
BRFSS,2012,CONTACT,1,Yes,FALSE
BRFSS,2012,CONTACT,2,No,FALSE
BRFSS,2012,NAME,1,Yes (ENTER NAME),FALSE
BRFSS,2012,NAME,2,Refused,FALSE
BRFSS,2012,CONTACTCASTHMA,1,Yes,FALSE
BRFSS,2012,CONTACTCASTHMA,2,No,FALSE
BRFSS,2012,CONTACTCASTHMA,7a,Don't know/Not sure,TRUE
BRFSS,2012,CONTACTCASTHMA,9a,Refused,TRUE
BRFSS,2012,CONTACTCASTHMA2,1,Yes,FALSE
BRFSS,2012,CONTACTCASTHMA2,2,No,FALSE
BRFSS,2012,CONTACTCASTHMA2,7a,Don't know/Not sure,TRUE
BRFSS,2012,CONTACTCASTHMA2,9a,Refused,TRUE
BRFSS,2012,CSGENDER,1,Boy,FALSE
BRFSS,2012,CSGENDER,2,Girl,FALSE
BRFSS,2012,CSGENDER,9a,Refused,TRUE
BRFSS,2012,CSHISP,1,Yes,FALSE
BRFSS,2012,CSHISP,2,No,FALSE
BRFSS,2012,CSHISP,7a,Don't know/Not sure,TRUE
BRFSS,2012,CSHISP,9a,Refused,TRUE
BRFSS,2012,CSRACEA,1,White,FALSE
BRFSS,2012,CSRACEA,2,Black or African American,FALSE
