domain,subdomain,category,subcategory
Behavioral Health,Adverse Childhood Experiences,,
Behavioral Health,Healthy Days,,
Behavioral Health,Mental Health,,
Cancer,Breast/Cervical Cancer Screening,Clinical Breast Exam,
Cancer,Breast/Cervical Cancer Screening,HPV Testing,
Cancer,Breast/Cervical Cancer Screening,Hysterectomy,
Cancer,Breast/Cervical Cancer Screening,Mammography,
Cancer,Breast/Cervical Cancer Screening,Pap/Cervical,
Cancer,Cancer Survivorship,Cancer History,
Cancer,Cancer Survivorship,Insurance/Cost,
Cancer,Cancer Survivorship,Pain Management,
Cancer,Cancer Survivorship,Treatment,
Cancer,Colorectal Cancer Screening,Colonoscopy,
Cancer,Colorectal Cancer Screening,DNA Stool Tests,
Cancer,Colorectal Cancer Screening,Other,
Cancer,Colorectal Cancer Screening,Sigmoidoscopy,
Cancer,Colorectal Cancer Screening,Stool Tests,
Cancer,Colorectal Cancer Screening,Virtual Colonoscopy,
Cancer,Lung Cancer Screening,,
Cancer,Prostate Cancer Screening,Decision-Making,
Cancer,Prostate Cancer Screening,Patient Education,
Cancer,Prostate Cancer Screening,Test History,
Chronic Conditions,Arthritis,,
Chronic Conditions,Asthma,Adult Asthma,
Chronic Conditions,Asthma,Childhood Asthma,
Chronic Conditions,Asthma,Follow-Up Survey,
Chronic Conditions,Cardiovascular Disease,Aspirin Use,
Chronic Conditions,Cardiovascular Disease,Cardiac Rehab,
Chronic Conditions,Cardiovascular Disease,First Aid,
Chronic Conditions,Cardiovascular Disease,Heart Attack Symptoms,
Chronic Conditions,Cardiovascular Disease,Stroke Symptoms,
Chronic Conditions,Cholesterol,Diagnosis,
Chronic Conditions,Cholesterol,Screening,
Chronic Conditions,Cholesterol,Treatment,
Chronic Conditions,Chronic Health Conditions,,
Chronic Conditions,Cognitive Decline,,
Chronic Conditions,Diabetes,Care Utilization,
Chronic Conditions,Diabetes,Complications,
Chronic Conditions,Diabetes,Diagnosis,
Chronic Conditions,Diabetes,Pre-Diabetes,
Chronic Conditions,Diabetes,Self-Monitoring,
Chronic Conditions,Diabetes,Treatment,
Chronic Conditions,HIV/AIDS,,
Chronic Conditions,Hepatitis,,
Chronic Conditions,Hypertension,Awareness,
Chronic Conditions,Hypertension,Lifestyle Actions,
Chronic Conditions,Hypertension,Self-Measurement,
Chronic Conditions,Hypertension,Treatment,
Chronic Conditions,Long COVID,,
Chronic Conditions,ME/CFS,,
Chronic Conditions,Respiratory Health,,
Demographics,Child Demographics,,
Demographics,Demographics,Age and Sex,
Demographics,Demographics,Body Measurements,
Demographics,Demographics,Functional Status,
Demographics,Demographics,Geography,
Demographics,Demographics,Household,
Demographics,Demographics,Race and Ethnicity,
Demographics,Demographics,Socioeconomic,
Demographics,Demographics,Telephone,
Demographics,Geography,,
Demographics,Industry and Occupation,,
Demographics,Race and Ethnicity,,
Demographics,Sex and Gender,,
Demographics,Sexual Orientation and Gender Identity,,
Health Behaviors,Food Environment,,
Health Behaviors,Fruits and Vegetables,,
Health Behaviors,Indoor Tanning,,
Health Behaviors,Oral Health,,
Health Behaviors,Physical Activity,,
Health Behaviors,Seatbelts and Drinking-Driving,,
Health Behaviors,Sleep,,
Health Behaviors,Sodium,,
Health Behaviors,Sugar-Sweetened Beverages,,
Health Behaviors,Sun Exposure,,
Health Care Access,Health Care Access,,
Health Care Access,Health Literacy,,
Health Care Access,Immunization,COVID-19,
Health Care Access,Immunization,HPV,
Health Care Access,Immunization,Influenza,
Health Care Access,Immunization,Pneumonia,
Health Care Access,Immunization,Shingles,
Health Care Access,Immunization,Tetanus,
Health Status,Health Status,,
Injury and Safety,Falls,,
Injury and Safety,Firearm Safety,,
Reproductive Health,Family Planning,Contraception Access,
Reproductive Health,Family Planning,Contraception Use,
Reproductive Health,Family Planning,Pregnancy Status,
Reproductive Health,Family Planning,Reasons,
Reproductive Health,Family Planning,Sexual Activity,
Social Determinants of Health,Caregiving,Care Recipient,
Social Determinants of Health,Caregiving,Care Tasks,
Social Determinants of Health,Caregiving,Caregiver Status,
Social Determinants of Health,Caregiving,Support Services,
Social Determinants of Health,Disability,,
Social Determinants of Health,Food Insecurity,,
Social Determinants of Health,Social Determinants of Health,Employment/Finances,
Social Determinants of Health,Social Determinants of Health,Food Security,
Social Determinants of Health,Social Determinants of Health,Housing/Stability,
Social Determinants of Health,Social Determinants of Health,Neighborhood,
Social Determinants of Health,Social Determinants of Health,Stress/Isolation,
Social Determinants of Health,Social Determinants of Health,Transportation,
Substance Use,Alcohol Use,Consumption,
Substance Use,Alcohol Use,Screening Brief Intervention,
Substance Use,Marijuana Use,,
Substance Use,Tobacco Use,Cigarettes,
Substance Use,Tobacco Use,E-Cigarettes,
Substance Use,Tobacco Use,Other Tobacco,
Survey Operations,Calculated Variables,,
Survey Operations,Survey Operations,,
Survey Operations,Weighting Variables,,
